hf_key,mlx_key,needs_transpose,param_type,notes
vision_tower.blocks.39.norm1.weight,vision.blocks.39.norm1.weight,no,RMSNorm,
vision_tower.blocks.39.norm2.weight,vision.blocks.39.norm2.weight,no,RMSNorm,
vision_tower.blocks.4.norm1.weight,vision.blocks.4.norm1.weight,no,RMSNorm,
vision_tower.blocks.4.norm2.weight,vision.blocks.4.norm2.weight,no,RMSNorm,
vision_tower.blocks.40.norm1.weight,vision.blocks.40.norm1.weight,no,RMSNorm,
vision_tower.blocks.40.norm2.weight,vision.blocks.40.norm2.weight,no,RMSNorm,
vision_tower.blocks.41.norm1.weight,vision.blocks.41.norm1.weight,no,RMSNorm,
vision_tower.blocks.41.norm2.weight,vision.blocks.41.norm2.weight,no,RMSNorm,
vision_tower.blocks.5.norm1.weight,vision.blocks.5.norm1.weight,no,RMSNorm,
vision_tower.blocks.5.norm2.weight,vision.blocks.5.norm2.weight,no,RMSNorm,
vision_tower.blocks.6.norm1.weight,vision.blocks.6.norm1.weight,no,RMSNorm,
vision_tower.blocks.6.norm2.weight,vision.blocks.6.norm2.weight,no,RMSNorm,
vision_tower.blocks.7.norm1.weight,vision.blocks.7.norm1.weight,no,RMSNorm,
vision_tower.blocks.7.norm2.weight,vision.blocks.7.norm2.weight,no,RMSNorm,
vision_tower.blocks.8.norm1.weight,vision.blocks.8.norm1.weight,no,RMSNorm,
vision_tower.blocks.8.norm2.weight,vision.blocks.8.norm2.weight,no,RMSNorm,
vision_tower.blocks.9.norm1.weight,vision.blocks.9.norm1.weight,no,RMSNorm,
vision_tower.blocks.9.norm2.weight,vision.blocks.9.norm2.weight,no,RMSNorm,
vision_tower.merger.ln_q.weight,vision.merger.ln.weight,no,RMSNorm,Merger layer norm (ln_q)
vision_tower.patch_embed.patchifier.norm.weight,vision.patch_embed.norm.weight,no,RMSNorm,PatchEmbed RMSNorm
vision_tower.post_trunk_norm.weight,vision.post_norm.weight,no,RMSNorm,Post encoder RMSNorm
